Bandwidth,Delay,Score,Additional Value
100,1,1.01,100.0
99,1,1.01,99.8
98,1,1.01,99.96
97,1,1.01,99.96
96,1,1.01,99.92
95,1,1.01,99.92
94,1,1.01,99.88
93,1,1.01,99.88
92,1,1.01,99.84
91,1,1.01,99.84
90,1,1.01,99.8
89,1,1.01,99.8
88,1,1.01,99.76
87,1,1.01,99.76
86,1,1.01,99.72
85,1,1.01,99.72
84,1,1.01,99.68
83,1,1.01,99.68
82,1,1.01,99.64
81,1,1.01,99.64
80,1,1.01,99.6
79,1,1.01,99.6
78,1,1.01,99.56
77,1,1.01,99.56
76,1,1.01,99.52
75,1,1.01,99.52
74,1,1.01,99.48
73,1,1.01,99.48
72,1,1.01,99.44
71,1,1.01,99.44
70,1,1.01,99.4
69,1,1.01,99.4
68,1,1.01,99.36
67,1,1.01,99.36
66,1,1.02,99.32
65,1,1.02,99.32
64,1,1.02,99.28
63,1,1.02,99.28
62,1,1.02,99.24
61,1,1.02,99.24
60,1,1.02,99.2
59,1,1.02,99.2
58,1,1.02,99.16
57,1,1.02,99.16
56,1,1.02,99.12
55,1,1.02,99.12
54,1,1.02,99.08
53,1,1.02,99.08
52,1,1.02,99.04
51,1,1.02,99.04
100,2,2.01,99.0
99,2,2.01,99.0
98,2,2.01,98.96
97,2,2.01,98.96
96,2,2.01,98.92
95,2,2.01,98.92
94,2,2.01,98.88
93,2,2.01,98.88
92,2,2.01,98.84
91,2,2.01,98.84
90,2,2.01,98.8
89,2,2.01,98.8
88,2,2.01,98.76
87,2,2.01,98.76
86,2,2.01,98.72
85,2,2.01,98.72
84,2,2.01,98.68
83,2,2.01,98.68
82,2,2.01,98.64
81,2,2.01,98.64
80,2,2.01,98.6
79,2,2.01,98.6
78,2,2.01,98.56
77,2,2.01,98.56
76,2,2.01,98.52
75,2,2.01,98.52
74,2,2.01,98.48
73,2,2.01,98.48
72,2,2.01,98.44
71,2,2.01,98.44
70,2,2.01,98.4
69,2,2.01,98.4
68,2,2.01,98.36
67,2,2.01,98.36
66,2,2.02,98.32
65,2,2.02,98.32
64,2,2.02,98.28
63,2,2.02,98.28
62,2,2.02,98.24
61,2,2.02,98.24
60,2,2.02,98.2
59,2,2.02,98.2
58,2,2.02,98.16
57,2,2.02,98.16
56,2,2.02,98.12
55,2,2.02,98.12
54,2,2.02,98.08
53,2,2.02,98.08
52,2,2.02,98.04
51,2,2.02,98.04
100,3,3.01,98.0
99,3,3.01,98.0
98,3,3.01,97.96
97,3,3.01,97.96
96,3,3.01,97.92
95,3,3.01,97.92
94,3,3.01,97.88
93,3,3.01,97.88
92,3,3.01,97.84
91,3,3.01,97.84
90,3,3.01,97.8
89,3,3.01,97.8
88,3,3.01,97.76
87,3,3.01,97.76
86,3,3.01,97.72
85,3,3.01,97.72
84,3,3.01,97.68
83,3,3.01,97.68
82,3,3.01,97.64
81,3,3.01,97.64
80,3,3.01,97.6
79,3,3.01,97.6
78,3,3.01,97.56
77,3,3.01,97.56
76,3,3.01,97.52
75,3,3.01,97.52
74,3,3.01,97.48
73,3,3.01,97.48
72,3,3.01,97.44
71,3,3.01,97.44
70,3,3.01,97.4
69,3,3.01,97.4
68,3,3.01,97.36
67,3,3.01,97.36
66,3,3.02,97.32
65,3,3.02,97.32
64,3,3.02,97.28
63,3,3.02,97.28
62,3,3.02,97.24
61,3,3.02,97.24
60,3,3.02,97.2
