Area,Instructions,Size,Priority,Bandwidth,Delay,Score,Allocated_Worker
2,231,29,0.0,5,91,10.08,3
1,248,23,0.0,9,83,17.88,3
1,295,24,0.0,22,90,11.76,3
1,252,24,0.0,4,91,10.08,3
1,270,22,0.0,8,87,14.04,3
2,270,23,0.0,5,99,2.4,3
2,218,22,0.0,12,93,8.4,3
1,206,22,0.0,21,93,8.76,3
1,291,29,0.0,7,88,13.08,3
2,239,30,0.0,13,74,26.76,3
2,271,23,0.0,18,86,15.36,3
1,276,28,0.0,19,71,29.88,3
3,257,23,0.0,6,81,19.68,3
3,213,27,0.0,11,78,22.8,3
2,206,27,0.0,9,85,15.96,3
2,224,25,0.0,7,86,15.0,3
2,231,30,0.0,14,75,25.8,3
1,217,29,0.0,24,84,17.52,3
1,241,24,0.0,12,83,18.0,3
1,210,27,0.0,17,90,11.52,3
2,216,28,0.0,12,83,18.0,3
2,236,24,0.0,1,83,17.64,3
3,206,27,0.0,12,83,18.0,3
2,253,29,0.0,13,92,9.48,3
3,238,28,0.0,9,87,14.04,3
2,202,24,0.0,3,76,24.36,3
3,232,27,0.0,7,73,27.48,3
3,253,21,0.0,4,85,15.84,3
3,288,25,0.0,20,85,16.44,3
1,219,30,0.0,16,88,13.44,3
1,280,25,0.0,8,81,19.8,3
3,221,21,0.0,2,93,8.04,3
1,281,23,0.0,20,79,22.2,3
2,234,27,0.0,3,98,3.24,3
1,218,28,0.0,9,83,17.88,3
1,266,23,0.0,2,80,20.52,3
2,240,30,0.0,1,75,25.32,3
3,275,26,0.0,3,72,28.2,3
3,234,29,0.0,3,98,3.24,3
2,223,24,0.0,17,85,16.32,3
3,245,25,0.0,14,90,11.4,3
1,254,27,0.0,1,91,9.96,3
3,263,23,0.0,20,94,7.8,3
3,268,26,0.0,24,81,20.4,3
2,238,24,0.0,14,73,27.72,3
2,263,29,0.0,12,88,13.2,3
3,204,30,0.0,16,94,7.68,3
3,274,25,0.0,9,85,15.96,3
2,222,22,0.0,19,74,27.0,3
1,232,28,0.0,6,83,17.76,3
2,247,21,0.0,2,78,22.44,3
1,238,23,0.0,19,73,27.96,3
2,247,23,0.0,20,79,22.2,3
2,298,23,0.0,19,97,4.92,3
2,268,25,0.0,7,88,13.08,3
1,242,30,0.0,20,89,12.6,3
3,223,25,0.0,24,93,8.88,3
2,284,23,0.0,23,100,2.16,3
2,248,23,0.0,9,77,23.64,3
3,203,22,0.0,8,84,16.92,3
3,283,22,0.0,16,88,13.44,3
2,202,21,0.0,17,77,24.0,3
1,229,24,0.0,19,98,3.96,3
3,240,22,0.0,14,100,1.8,3
3,214,26,0.0,6,89,12.0,3
1,238,24,0.0,5,87,13.92,3
3,242,29,0.0,10,75,25.68,3
3,214,25,0.0,24,89,12.72,3
1,227,28,0.0,10,95,6.48,3
2,227,21,0.0,11,79,21.84,3
1,258,23,0.0,14,98,3.72,3
3,262,26,0.0,7,76,24.6,3
2,243,28,0.0,5,83,17.76,3
1,279,28,0.0,13,98,3.72,3
3,269,22,0.0,10,74,26.64,3
2,276,21,0.0,5,100,1.44,3
3,264,27,0.0,10,90,11.28,3
3,295,26,0.0,24,88,13.68,3
2,235,23,0.0,7,72,28.44,3
1,201,24,0.0,1,74,26.28,3
1,264,29,0.0,19,86,15.48,3
1,224,26,0.0,21,83,18.36,3
3,266,27,0.0,3,73,27.24,3
1,202,22,0.0,1,92,9.0,3
3,264,22,0.0,5,95,6.24,3
1,225,27,0.0,17,90,11.52,3
2,271,25,0.0,1,95,6.12,3
2,216,23,0.0,10,92,9.36,3
3,255,22,0.0,18,89,12.48,3
3,223,23,0.0,3,78,22.44,3
2,264,30,0.0,12,93,8.4,3
3,283,29,0.0,17,95,6.72,3
1,233,29,0.0,17,83,18.24,3
1,274,23,0.0,23,89,12.72,3
2,244,21,0.0,9,93,8.28,3
3,220,23,0.0,5,89,12.0,3
1,300,22,0.0,7,89,12.12,3
1,218,29,0.0,18,99,2.88,3
3,227,29,0.0,9,85,15.96,3
2,263,22,0.0,21,96,5.88,3
