Bandwidth,Delay,Score,Additional Value
24,71,71.04,30.0
23,71,71.04,30.0
22,71,71.05,30.0
21,71,71.05,29.88
20,71,71.05,29.88
19,71,71.05,29.88
18,71,71.06,29.76
17,71,71.06,29.76
16,71,71.06,29.76
15,71,71.07,29.64
14,71,71.07,29.64
13,71,71.08,29.64
12,71,71.08,29.52
11,71,71.09,29.52
10,71,71.1,29.52
9,71,71.11,29.4
8,71,71.12,29.4
7,71,71.14,29.4
6,71,71.17,29.28
5,71,71.2,29.28
4,71,71.25,29.28
3,71,71.33,29.16
2,71,71.5,29.16
1,71,72.0,29.16
24,72,72.04,29.04
23,72,72.04,29.04
22,72,72.05,29.04
21,72,72.05,28.92
20,72,72.05,28.92
19,72,72.05,28.92
18,72,72.06,28.8
17,72,72.06,28.8
16,72,72.06,28.8
15,72,72.07,28.68
14,72,72.07,28.68
13,72,72.08,28.68
12,72,72.08,28.56
11,72,72.09,28.56
10,72,72.1,28.56
9,72,72.11,28.44
8,72,72.12,28.44
7,72,72.14,28.44
6,72,72.17,28.32
5,72,72.2,28.32
4,72,72.25,28.32
3,72,72.33,28.2
2,72,72.5,28.2
1,72,73.0,28.2
24,73,73.04,28.08
23,73,73.04,28.08
22,73,73.05,28.08
21,73,73.05,27.96
20,73,73.05,27.96
19,73,73.05,27.96
18,73,73.06,27.84
17,73,73.06,27.84
16,73,73.06,27.84
15,73,73.07,27.72
14,73,73.07,27.72
13,73,73.08,27.72
12,73,73.08,27.6
11,73,73.09,27.6
10,73,73.1,27.6
9,73,73.11,27.48
8,73,73.12,27.48
7,73,73.14,27.48
6,73,73.17,27.36
5,73,73.2,27.36
4,73,73.25,27.36
3,73,73.33,27.24
2,73,73.5,27.24
1,73,74.0,27.24
24,74,74.04,27.12
23,74,74.04,27.12
22,74,74.05,27.12
21,74,74.05,27.0
20,74,74.05,27.0
19,74,74.05,27.0
18,74,74.06,26.88
17,74,74.06,26.88
16,74,74.06,26.88
15,74,74.07,26.76
14,74,74.07,26.76
13,74,74.08,26.76
12,74,74.08,26.64
11,74,74.09,26.64
10,74,74.1,26.64
9,74,74.11,26.52
8,74,74.12,26.52
7,74,74.14,26.52
6,74,74.17,26.4
5,74,74.2,26.4
4,74,74.25,26.4
3,74,74.33,26.28
2,74,74.5,26.28
1,74,75.0,26.28
24,75,75.04,26.16
